id,date,content,username,likeCount,retweetCount,cleaned_text,processed_text,word_count,vader_score,vader_label,tb_polarity,tb_subjectivity,tb_label,sentiment
1,2024-01-01 00:00:00+00:00,GPT-4 hallucinated completely wrong info and I almost used it. Scary.,data_nerd254,494,28,gpt4 hallucinated completely wrong info and i almost used it scary,gpt4 hallucinated completely wrong info almost used scary,11,-0.7453,negative,-0.5,0.95,negative,negative
2,2024-01-01 01:30:00+00:00,Using OpenAI at work now and our output has doubled. Highly recommend.,ai_skeptic,176,196,using openai at work now and our output has doubled highly recommend,using openai work output doubled highly recommend,12,0.4201,positive,0.16,0.54,positive,positive
3,2024-01-01 03:00:00+00:00,Mistral is the best productivity tool I have used in years.,tech_tracy,22,6,mistral is the best productivity tool i have used in years,mistral best productivity tool used years,11,0.6369,positive,1.0,0.3,positive,positive
4,2024-01-01 04:30:00+00:00,The bias in open source AI outputs is a serious problem nobody wants to address.,airesearcher,736,160,the bias in open source ai outputs is a serious problem nobody wants to address,bias open source ai outputs serious problem nobody wants address,15,-0.5267,negative,-0.04444444444444443,0.4222222222222222,neutral,negative
5,2024-01-01 06:00:00+00:00,The open source AI community is growing fast. Lots of debate about best practices.,mlops_daily,280,102,the open source ai community is growing fast lots of debate about best practices,open source ai community growing fast lots debate best practices,14,0.7096,positive,0.39999999999999997,0.46666666666666673,positive,positive
6,2024-01-01 07:30:00+00:00,OpenAI is overhyped. Real intelligence is still far away.,devmike92,175,58,openai is overhyped real intelligence is still far away,openai overhyped real intelligence still far away,9,0.4767,positive,0.15000000000000002,0.65,positive,positive
7,2024-01-01 09:00:00+00:00,The progress in LLMs over the last year is absolutely incredible.,airesearcher,269,133,the progress in llms over the last year is absolutely incredible,progress llms last year absolutely incredible,11,0.4215,positive,0.45,0.48333333333333334,positive,positive
8,2024-01-01 10:30:00+00:00,Incredible what artificial intelligence can do now. We are living in the future.,mlops_daily,702,62,incredible what artificial intelligence can do now we are living in the future,incredible artificial intelligence living future,13,0.5209,positive,0.10000000000000002,0.6749999999999999,positive,positive
10,2024-01-01 13:30:00+00:00,Really impressed by artificial intelligence! The capabilities are mind-blowing.,mlops_daily,147,153,really impressed by artificial intelligence the capabilities are mindblowing,really impressed artificial intelligence capabilities mindblowing,9,0.7574,positive,0.2,1.0,positive,positive
11,2024-01-01 15:00:00+00:00,Not sure what to make of Claude yet. Need more time with it.,cto_musings,716,193,not sure what to make of claude yet need more time with it,sure make claude yet need time,13,-0.2411,negative,0.125,0.6944444444444444,positive,negative
12,2024-01-01 16:30:00+00:00,Attended a talk on Gemini today. Lots to think about.,devmike92,561,55,attended a talk on gemini today lots to think about,attended talk gemini today lots think,10,0.0,neutral,0.0,0.0,neutral,neutral
13,2024-01-01 18:00:00+00:00,deep learning is overhyped. Real intelligence is still far away.,tech_tracy,602,98,deep learning is overhyped real intelligence is still far away,deep learning overhyped real intelligence still far away,10,0.4767,positive,0.10000000000000002,0.5666666666666668,positive,positive
14,2024-01-01 19:30:00+00:00,Comparing deep learning tools this week. Each has different trade-offs.,techie_zuri,759,153,comparing deep learning tools this week each has different tradeoffs,comparing deep learning tools week different tradeoffs,10,0.0,neutral,0.0,0.5,neutral,neutral
15,2024-01-01 21:00:00+00:00,Gemini keeps getting better. Kudos to the team behind it!,tech_tracy,423,166,gemini keeps getting better kudos to the team behind it,gemini keeps getting better kudos team behind,10,0.7351,positive,0.04999999999999999,0.6,neutral,positive
16,2024-01-01 22:30:00+00:00,Loving every update to LLMs. The team is crushing it.,ai_skeptic,273,47,loving every update to llms the team is crushing it,loving every update llms team crushing,10,0.34,positive,0.5,0.925,positive,positive
17,2024-01-02 00:00:00+00:00,Loving every update to OpenAI. The team is crushing it.,mlops_daily,798,19,loving every update to openai the team is crushing it,loving every update openai team crushing,10,0.34,positive,0.5,0.925,positive,positive
18,2024-01-02 01:30:00+00:00,Our company is evaluating machine learning for internal use. Early days still.,cto_musings,145,138,our company is evaluating machine learning for internal use early days still,company evaluating machine learning internal use early days still,12,0.0,neutral,0.05,0.15,neutral,neutral
19,2024-01-02 03:00:00+00:00,"Watched a demo of ChatGPT today. Impressive in some areas, limited in others.",nairobi_dev,111,161,watched a demo of chatgpt today impressive in some areas limited in others,watched demo chatgpt today impressive areas limited others,13,0.34,positive,0.4642857142857143,0.5714285714285714,positive,positive
20,2024-01-02 04:30:00+00:00,generative AI keeps getting better. Kudos to the team behind it!,data_nerd254,390,66,generative ai keeps getting better kudos to the team behind it,generative ai keeps getting better kudos team behind,11,0.7351,positive,0.04999999999999999,0.6,neutral,positive
21,2024-01-02 06:00:00+00:00,deep learning is being discussed a lot in our team. No consensus yet.,tech_tracy,781,97,deep learning is being discussed a lot in our team no consensus yet,deep learning discussed lot team consensus yet,13,-0.296,negative,0.0,0.4,neutral,negative
22,2024-01-02 07:30:00+00:00,GPT-4 keeps getting better. Kudos to the team behind it!,devmike92,548,48,gpt4 keeps getting better kudos to the team behind it,gpt4 keeps getting better kudos team behind,10,0.7351,positive,0.04999999999999999,0.6,neutral,positive
23,2024-01-02 09:00:00+00:00,"Watched a demo of Gemini today. Impressive in some areas, limited in others.",cto_musings,138,140,watched a demo of gemini today impressive in some areas limited in others,watched demo gemini today impressive areas limited others,13,0.34,positive,0.4642857142857143,0.5714285714285714,positive,positive
24,2024-01-02 10:30:00+00:00,deep learning is the best productivity tool I have used in years.,nairobi_dev,303,31,deep learning is the best productivity tool i have used in years,deep learning best productivity tool used years,12,0.6369,positive,0.5,0.35,positive,positive
25,2024-01-02 12:00:00+00:00,GitHub Copilot still makes too many mistakes to rely on for serious work.,mlops_daily,242,139,github copilot still makes too many mistakes to rely on for serious work,github copilot still makes many mistakes rely serious work,13,-0.4215,negative,0.08333333333333334,0.5833333333333333,positive,negative
26,2024-01-02 13:30:00+00:00,The bias in OpenAI outputs is a serious problem nobody wants to address.,ai_skeptic,794,93,the bias in openai outputs is a serious problem nobody wants to address,bias openai outputs serious problem nobody wants address,13,-0.5267,negative,-0.06666666666666665,0.3833333333333333,negative,negative
27,2024-01-02 15:00:00+00:00,Disappointed by the latest OpenAI update. Felt like a step backward.,techie_zuri,390,10,disappointed by the latest openai update felt like a step backward,disappointed latest openai update felt like step backward,11,-0.1531,negative,-0.125,0.825,negative,negative
28,2024-01-02 16:30:00+00:00,Mistral has pros and cons. Still evaluating whether it fits our stack.,devmike92,262,94,mistral has pros and cons still evaluating whether it fits our stack,mistral pros cons still evaluating whether fits stack,12,0.0,neutral,0.0,0.0,neutral,neutral
29,2024-01-02 18:00:00+00:00,The hype around deep learning is way overblown. It is just autocomplete.,tech_tracy,736,148,the hype around deep learning is way overblown it is just autocomplete,hype around deep learning way overblown autocomplete,12,0.0,neutral,0.0,0.4,neutral,neutral
30,2024-01-02 19:30:00+00:00,Excited about what GitHub Copilot means for the future of technology.,data_nerd254,30,44,excited about what github copilot means for the future of technology,excited github copilot means future technology,11,0.34,positive,0.1875,0.4375,positive,positive
32,2024-01-02 22:30:00+00:00,OpenAI keeps going down at the worst times. Reliability is a real issue.,mlops_daily,706,66,openai keeps going down at the worst times reliability is a real issue,openai keeps going worst times reliability real issue,13,-0.6249,negative,-0.3185185185185185,0.5296296296296297,negative,negative
33,2024-01-03 00:00:00+00:00,open source AI hallucinated completely wrong info and I almost used it. Scary.,pythonista_ke,467,49,open source ai hallucinated completely wrong info and i almost used it scary,open source ai hallucinated completely wrong info almost used scary,13,-0.7453,negative,-0.3333333333333333,0.7999999999999999,negative,negative
35,2024-01-03 03:00:00+00:00,Using generative AI at work now and our output has doubled. Highly recommend.,tech_tracy,156,166,using generative ai at work now and our output has doubled highly recommend,using generative ai work output doubled highly recommend,13,0.4201,positive,0.16,0.54,positive,positive
36,2024-01-03 04:30:00+00:00,"OpenAI is useful for some tasks, not so much for others.",nairobi_dev,160,131,openai is useful for some tasks not so much for others,openai useful tasks much others,11,0.4404,positive,0.25,0.1,positive,positive
37,2024-01-03 06:00:00+00:00,LLMs just helped me debug a nasty issue in minutes. Love it.,techie_zuri,665,194,llms just helped me debug a nasty issue in minutes love it,llms helped debug nasty issue minutes love,12,0.1531,positive,-0.25,0.8,negative,positive
38,2024-01-03 07:30:00+00:00,The bias in generative AI outputs is a serious problem nobody wants to address.,airesearcher,427,131,the bias in generative ai outputs is a serious problem nobody wants to address,bias generative ai outputs serious problem nobody wants address,14,-0.5267,negative,-0.06666666666666665,0.3833333333333333,negative,negative
39,2024-01-03 09:00:00+00:00,machine learning keeps getting better. Kudos to the team behind it!,ai_skeptic,447,183,machine learning keeps getting better kudos to the team behind it,machine learning keeps getting better kudos team behind,11,0.7351,positive,0.04999999999999999,0.6,neutral,positive
40,2024-01-03 10:30:00+00:00,"Watched a demo of AI tools today. Impressive in some areas, limited in others.",airesearcher,678,115,watched a demo of ai tools today impressive in some areas limited in others,watched demo ai tools today impressive areas limited others,14,0.34,positive,0.4642857142857143,0.5714285714285714,positive,positive
41,2024-01-03 12:00:00+00:00,Using machine learning at work now and our output has doubled. Highly recommend.,nairobi_dev,205,140,using machine learning at work now and our output has doubled highly recommend,using machine learning work output doubled highly recommend,13,0.4201,positive,0.16,0.54,positive,positive
42,2024-01-03 13:30:00+00:00,Loving every update to deep learning. The team is crushing it.,ai_skeptic,164,187,loving every update to deep learning the team is crushing it,loving every update deep learning team crushing,11,0.34,positive,0.3333333333333333,0.75,positive,positive
43,2024-01-03 15:00:00+00:00,"Watched a demo of open source AI today. Impressive in some areas, limited in others.",techie_zuri,420,101,watched a demo of open source ai today impressive in some areas limited in others,watched demo open source ai today impressive areas limited others,15,0.34,positive,0.30952380952380953,0.5476190476190476,positive,positive
44,2024-01-03 16:30:00+00:00,OpenAI just helped me debug a nasty issue in minutes. Love it.,pythonista_ke,359,23,openai just helped me debug a nasty issue in minutes love it,openai helped debug nasty issue minutes love,12,0.1531,positive,-0.25,0.8,negative,positive
45,2024-01-03 18:00:00+00:00,Security risks in artificial intelligence are being ignored. This will bite us.,techie_zuri,216,61,security risks in artificial intelligence are being ignored this will bite us,security risks artificial intelligence ignored bite us,12,0.2732,positive,-0.6,1.0,negative,positive
46,2024-01-03 19:30:00+00:00,Our company is evaluating deep learning for internal use. Early days still.,tech_tracy,156,72,our company is evaluating deep learning for internal use early days still,company evaluating deep learning internal use early days still,12,0.0,neutral,0.03333333333333333,0.2333333333333333,neutral,neutral
47,2024-01-03 21:00:00+00:00,LLMs solved a problem in 5 seconds that took me hours before.,ai_skeptic,102,5,llms solved a problem in 5 seconds that took me hours before,llms solved problem seconds took hours,12,-0.1531,negative,0.0,0.0,neutral,negative
48,2024-01-03 22:30:00+00:00,Not impressed with open source AI at all. Way too many errors for production.,data_nerd254,573,149,not impressed with open source ai at all way too many errors for production,impressed open source ai way many errors production,14,-0.6065,negative,0.0,0.6666666666666666,neutral,negative
49,2024-01-04 00:00:00+00:00,Incredible what Claude can do now. We are living in the future.,ai_skeptic,81,146,incredible what claude can do now we are living in the future,incredible claude living future,12,0.0,neutral,0.45,0.5125,positive,neutral
50,2024-01-04 01:30:00+00:00,Still learning how to get the best results out of LLMs.,pythonista_ke,9,65,still learning how to get the best results out of llms,still learning get best results llms,11,0.6369,positive,1.0,0.3,positive,positive
51,2024-01-04 03:00:00+00:00,Our company is evaluating large language models for internal use. Early days still.,tech_tracy,143,72,our company is evaluating large language models for internal use early days still,company evaluating large language models internal use early days still,13,0.0,neutral,0.10476190476190476,0.24285714285714285,positive,neutral
